Attribute Id	Attribute name	Domain Id
1430	DNA-templated transcription, initiation	19
4904	protein heterodimerization activity	19
6090	SLIK (SAGA-like) complex	20
5931	SAGA complex	20
5855	RNA polymerase II preinitiation complex assembly	20
2291	histone acetyltransferase activity	20
6483	transcription factor binding	20
6486	transcription factor TFIID complex	20
5853	RNA polymerase II general transcription initiation factor activity	20
3016	microtubule binding	21
1935	G1/S transition of mitotic cell cycle	21
4529	positive regulation of JAK-STAT cascade	21
1148	cyclin-dependent protein kinase holoenzyme complex	21
1936	G2/M transition of mitotic cell cycle	21
874	centrosome duplication	21
2822	maintenance of protein location in cell	21
4949	protein localization	21
160	actomyosin contractile ring assembly	21
1031	cleavage furrow	21
3155	mitotic cytokinesis	21
2631	kinetochore	21
3172	mitotic sister chromatid segregation	21
6214	spindle midzone	21
2944	meiotic spindle midzone	22
974	chromosome passenger complex	22
2365	histone phosphorylation	22
1578	endomitotic cell cycle	22
5348	regulation of exit from mitosis	22
3807	nuclear nucleosome	23
2769	long-term memory	24
2255	hemopoiesis	24
6804	wing disc morphogenesis	24
2434	immune response	24
2281	hindgut morphogenesis	24
2790	lysosome	25
2199	Gtr1-Gtr2 GTPase complex	25
1541	EGO complex	25
799	cellular response to amino acid stimulus	25
4691	positive regulation of TOR signaling	25
2006	germ cell development	26
1838	female germ-line stem cell population maintenance	26
5032	protein stabilization	26
4885	protein deneddylation	26
2841	male germ-line cyst encapsulation	26
2018	germarium-derived cystoblast division	26
1086	COP9 signalosome	26
4400	positive regulation of cell growth	27
4372	positive regulation of axon guidance	27
3398	negative regulation of autophagy	27
2485	insulin receptor signaling pathway	27
449	autolysosome	27
2431	imaginal disc-derived wing morphogenesis	27
4405	positive regulation of cell size	27
3863	nucleoplasm	27
1437	dolichyl-diphosphooligosaccharide-protein glycotransferase activity	27
1569	encapsulation of foreign target	27
752	cell projection	27
115	actin cytoskeleton organization	27
125	actin filament organization	27
4530	positive regulation of JNK cascade	27
1455	dorsal closure	27
4304	pole plasm oskar mRNA localization	27
1577	endomembrane system	27
745	cell migration	27
6465	tracheal outgrowth, open tracheal system	27
3296	myoblast fusion	27
3827	nuclear pore outer ring	27
416	ATP hydrolysis coupled proton transport	27
5084	proton-transporting ATPase activity, rotational mechanism	27
4283	plasma membrane proton-transporting V-type ATPase complex	27
6739	vacuolar proton-transporting V-type ATPase, V1 domain	27
746	cell morphogenesis	27
6750	vascular endothelial growth factor receptor signaling pathway	27
560	border follicle cell migration	27
4696	positive regulation of transcription by RNA polymerase II	28
6496	transcription initiation from RNA polymerase II promoter	28
6474	transcription coactivator activity	28
3548	negative regulation of neuroblast proliferation	28
5602	regulation of transcription by RNA polymerase II	28
2919	mediator complex	28
1102	core mediator complex	28
6476	transcription coregulator activity	28
5845	RNA polymerase II activity	28
1428	DNA-directed 5'-3' RNA polymerase activity	28
6472	transcription by RNA polymerase II	28
5865	RNA polymerase II, core complex	28
412	ATP binding	29
1184	cytoplasm	29
3902	nucleus	29
4868	protein binding	29
1220	cytosol	29
4279	plasma membrane	29
3510	negative regulation of insulin receptor signaling pathway	30
1394	DNA replication	30
3895	nucleotide-excision repair	30
3144	mitotic cell cycle	30
5197	recycling endosome	30
4076	peptidoglycan recognition protein signaling pathway	30
1066	compound eye development	30
6068	single-stranded DNA binding	30
1027	clathrin-coated vesicle	30
5051	protein tyrosine phosphatase activity	30
3465	negative regulation of ERK1 and ERK2 cascade	30
1610	endosome	30
6769	vesicle-mediated transport	30
5159	Rab guanyl-nucleotide exchange factor activity	30
6564	TRAPP complex	30
6467	trans-Golgi network	30
467	axon guidance	30
2544	intracellular protein transport	30
1012	clathrin adaptor activity	30
332	AP-2 adaptor complex	30
1574	endocytosis	30
1487	dsRNA transport	30
2153	Golgi apparatus	30
1753	exocytosis	30
2163	Golgi to plasma membrane protein transport	30
3709	neuronal cell body	30
1572	endocytic recycling	30
1666	ER to Golgi vesicle-mediated transport	30
2528	intra-Golgi vesicle-mediated transport	31
2167	Golgi transport complex	31
2160	Golgi organization	31
5751	retrograde vesicle-mediated transport, Golgi to ER	31
5413	regulation of lipid storage	32
1088	COPI vesicle coat	32
5620	regulation of tube diameter, open tracheal system	32
2695	larval salivary gland morphogenesis	32
2353	histone methyltransferase activity	33
6658	U4 snRNA 3'-end processing	34
3848	nuclear-transcribed mRNA catabolic process, exonucleolytic, 3'-5'	34
1186	cytoplasmic exosome (RNase complex)	34
4316	polyadenylation-dependent snoRNA 3'-end processing	34
3787	nuclear exosome (RNase complex)	34
1765	exosome (RNase complex)	34
5908	rRNA catabolic process	34
3806	nuclear mRNA surveillance	34
5362	regulation of gene expression	34
3818	nuclear polyadenylation-dependent tRNA catabolic process	34
3815	nuclear polyadenylation-dependent rRNA catabolic process	34
1760	exonucleolytic trimming to generate mature 3'-end of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)	34
1759	exonucleolytic nuclear-transcribed mRNA catabolic process involved in deadenylation-dependent decay	34
3795	nuclear lamina	34
6677	ubiquitin protein ligase activity	35
4564	positive regulation of mitotic metaphase/anaphase transition	35
286	anaphase-promoting complex-dependent catabolic process	35
284	anaphase-promoting complex	35
6672	ubiquitin activating enzyme binding	36
6319	SUMO activating enzyme complex	36
6318	SUMO activating enzyme activity	36
5033	protein sumoylation	36
4990	protein modification by small protein conjugation	36
4690	positive regulation of Toll signaling pathway	36
4583	positive regulation of NF-kappaB transcription factor activity	36
4354	positive regulation of antimicrobial peptide production	36
6508	transcriptionally active chromatin	37
5847	RNA polymerase II complex binding	37
715	Cdc73/Paf1 complex	37
6478	transcription elongation factor complex	38
5326	regulation of DNA-templated transcription in response to stress	38
4914	protein import into nucleus	39
3826	nuclear pore organization	40
6280	structural constituent of nuclear pore	40
3819	nuclear pore	41
3796	nuclear localization sequence binding	41
3782	nuclear envelope	41
3586	negative regulation of protein export from nucleus	41
6130	snRNA processing	42
6126	snRNA 3'-end processing	42
2506	integrator complex	42
6061	Sin3-type complex	43
3641	negative regulation of transcription by RNA polymerase II	43
2306	histone deacetylation	43
2303	histone deacetylase activity	43
5294	regulation of circadian rhythm	44
994	circadian behavior	44
3249	mRNA polyadenylation	45
3241	mRNA cleavage and polyadenylation specificity factor complex	45
4785	pre-mRNA cleavage required for polyadenylation	45
3229	mRNA 3'-end processing by stem-loop binding and cleavage	45
3244	mRNA cleavage stimulating factor complex	45
3820	nuclear pore central transport channel	46
3767	NSL complex	47
1047	cohesin complex	48
973	chromosome organization	48
