plate	well	content	hd3_id	fbgn	gene_symbol	hd3plate	hd3well	hd3content	hd3query_id	hd3fbgn	hd3gene	id
CTRL1	B1	sample	HD3202841	FBgn0000319	Chc	2008	I18	probe	FBgn0000319_cr5	FBgn0000319	Chc	14617
CTRL1	B2	rluc	control	no_gene	control	NA	NA	NA	NA	NA	NA	14618
CTRL1	B3	sample	HD3200231	FBgn0001965	Sos	2001	H5	probe	FBgn0001965_cr1	FBgn0001965	Sos	14619
CTRL1	B4	sample	HD3105776	FBgn0035436	CG12016	1016	C7	probe	FBgn0035437_cr1	FBgn0035437	Strip	14620
CTRL1	B5	sample	HD3201245	FBgn0011739	wts	2004	O17	probe	FBgn0011739_cr8	FBgn0011739	wts	14621
CTRL1	B6	sample	HD3205417	FBgn0031976	CG7367	2015	G9	probe	FBgn0044323_cr1	FBgn0044323	Cka	14622
CTRL1	B7	sample	HD3201522	FBgn0020255	Ran	2004	N20	probe	FBgn0020255_cr1	FBgn0020255	Ran	14623
CTRL1	B8	sample	HD3204792	FBgn0025615	Torsin	2013	O8	probe	FBgn0025615_cr2	FBgn0025615	Torsin	14624
CTRL1	B9	sample	HD3200592	FBgn0000212	brm	2002	D7	probe	FBgn0000212_cr1	FBgn0000212	brm	14625
CTRL1	B10	sample	HD3101427	FBgn0067629	CG33332	1004	N21	probe	FBgn0004597_cr1	FBgn0004597	CycC	14626
CTRL1	B11	sample	HD3200837	FBgn0034802	CG3800	2003	K17	probe	FBgn0034802_cr1	FBgn0034802	CG3800	14627
CTRL1	B12	sample	HD3101217	FBgn0010269	Dsor1	1004	K9	probe	FBgn0010269_cr4	FBgn0010269	Dsor1	14628
CTRL1	B13	sample	HD3101217	FBgn0010269	Dsor1	1004	K9	probe	FBgn0010269_cr4	FBgn0010269	Dsor1	14629
CTRL1	B14	sample	HD3102330	FBgn0019886	Letm1	1007	E3	probe	FBgn0019886_cr2	FBgn0019886	Letm1	14630
CTRL1	B15	sample	HD3202330	FBgn0019886	Letm1	2007	E3	probe	FBgn0019886_cr3	FBgn0019886	Letm1	14631
CTRL1	B16	sample	HD3201217	FBgn0010269	Dsor1	2004	K9	probe	FBgn0010269_cr2	FBgn0010269	Dsor1	14632
CTRL1	B17	sample	HD3112988	FBgn0034240	MESR4	1034	F8	probe	HD3112988_1	FBgn0034240	MESR4	14633
CTRL1	B18	sample	HD3105111	FBgn0037024	tzn	1014	C22	probe	FBgn0037024_cr2	FBgn0037024	CG4365	14634
CTRL1	B19	sample	HD3115488	FBgn0016792	dmt	1041	E16	probe	HD3115488_1	FBgn0016792	NA	14635
CTRL1	B20	sample	HD3104261	FBgn0034410	Topors	1012	G1	probe	FBgn0034410_cr1	FBgn0034410	NA	14636
CTRL1	B21	sample	HD3113084	FBgn0085236	CG34207	1035	E7	probe	HD3113084_1	FBgn0085236	CG34207	14637
CTRL1	B22	sample	HD3202122	FBgn0032293	Dpy-30L1	2006	B19	probe	FBgn0027868_cr1	FBgn0027868	Nup107	14638
CTRL1	B23	rluc	control	no_gene	control	NA	NA	NA	NA	NA	NA	14639
CTRL1	B24	sample	HD3204221	FBgn0000577	en	2011	P18	probe	FBgn0000577_cr3	FBgn0000577	en	14640
CTRL1	C1	sample	HD3202520	FBgn0024352	Hop	2007	D23	probe	FBgn0024352_cr3	FBgn0024352	Hop	14641
CTRL1	C2	sample	HD3201882	FBgn0033529	CG17765	2005	J20	probe	FBgn0033529_cr2	FBgn0033529	CG17765	14642
CTRL1	C3	sample	HD3205312	FBgn0038369	Arpc3A	2014	F16	probe	FBgn0038369_cr3	FBgn0038369	Arpc3A	14643
CTRL1	C4	sample	HD3100830	FBgn0034446	Arl6	1003	K3	probe	FBgn0023211_cr1	FBgn0023211	NA	14644
CTRL1	C5	sample	HD3100195	FBgn0003415	skd	1001	B5	probe	FBgn0003415_cr1	FBgn0003415	skd	14645
CTRL1	C6	sample	HD3101217	FBgn0010269	Dsor1	1004	K9	probe	FBgn0010269_cr4	FBgn0010269	Dsor1	14646
CTRL1	C7	sample	HD3202005	FBgn0032955	CG2201	2006	O1	probe	FBgn0032955_cr6	FBgn0032955	CG2201	14647
CTRL1	C8	sample	HD3202930	FBgn0053110	CG33110	2008	J3	probe	FBgn0053110_cr6	FBgn0053110	CG33110	14648
CTRL1	C9	sample	HD3204795	FBgn0086687	Desat1	2013	O14	probe	FBgn0086687_cr1	FBgn0086687	Desat1	14649
CTRL1	C10	sample	HD3101068	FBgn0032006	Pvr	1003	B24	probe	FBgn0032006_cr9	FBgn0032006	Pvr	14650
CTRL1	C11	sample	HD3200039	FBgn0000568	Eip75B	2001	G5	probe	FBgn0000568_cr1	FBgn0000568	Eip75B	14651
CTRL1	C12	rluc	control	no_gene	control	NA	NA	NA	NA	NA	NA	14652
CTRL1	C13	rluc	control	no_gene	control	NA	NA	NA	NA	NA	NA	14653
CTRL1	C14	sample	HD3202599	FBgn0010341	Cdc42	2007	B14	probe	FBgn0010341_cr2	FBgn0010341	Cdc42	14654
CTRL1	C15	sample	HD3115206	FBgn0050380	CG30380	1040	H3	probe	HD3115206_1	FBgn0050380	CG30380	14655
CTRL1	C16	sample	HD3205111	FBgn0037024	tzn	2014	C22	probe	FBgn0037024_cr2	FBgn0037024	CG4365	14656
CTRL1	C17	sample	HD3111579	FBgn0013275	Hsp70Aa	1031	I21	probe	FBgn0051354_cr1	FBgn0051354	Hsp70Bbb	14657
CTRL1	C18	sample	HD3105415	FBgn0026250	eIF-1A	1015	G5	probe	FBgn0026250_cr2	FBgn0026250	eIF-1A	14658
CTRL1	C19	sample	HD3100537	FBgn0004106	Cdk1	1002	I18	probe	FBgn0004106_cr1	FBgn0004106	Cdk1	14659
CTRL1	C20	sample	HD3204261	FBgn0034410	Topors	2012	G1	probe	FBgn0034410_cr3	FBgn0034410	NA	14660
CTRL1	C21	sample	HD3105740	FBgn0031663	CG8891	1015	N8	probe	FBgn0031663_cr3	FBgn0031663	CG8891	14661
CTRL1	C22	sample	HD3112626	FBgn0041184	Socs36E	1033	J4	probe	HD3112626_1	FBgn0041184	Socs36E	14662
CTRL1	C23	sample	HD3102737	FBgn0031493	CG3605	1008	I1	probe	FBgn0031493_cr3	FBgn0031493	CG3605	14663
CTRL1	C24	sample	HD3215379	FBgn0261113	Xrp1	2041	C13	probe	HD3215379_1	FBgn0261113	Xrp1	14664
CTRL1	D1	sample	HD3204495	FBgn0001085	fz	2012	N13	probe	FBgn0001085_cr4	FBgn0001085	fz	14665
CTRL1	D2	rluc	control	no_gene	control	NA	NA	NA	NA	NA	NA	14666
CTRL1	D3	sample	HD3104621	FBgn0028932	CG16890	1013	C1	probe	FBgn0024846_cr2	FBgn0024846	p38b	14667
CTRL1	D4	sample	HD3106377	FBgn0015623	Cpr	1017	H9	probe	FBgn0015623_cr4	FBgn0015623	Cpr	14668
CTRL1	D5	sample	HD3101447	FBgn0003118	pnt	1004	B14	probe	FBgn0003118_cr1	FBgn0003118	pnt	14669
CTRL1	D6	sample	HD3103942	FBgn0004926	eIF-2beta	1011	A12	probe	FBgn0004926_cr1	FBgn0004926	eIF-2beta	14670
CTRL1	D7	sample	HD3210976	FBgn0261793	Trf2	2029	F15	probe	HD3210976_1	FBgn0261793	Trf2	14671
CTRL1	D8	sample	HD3205776	FBgn0035437	Strip	2016	C7	probe	FBgn0035437_cr2	FBgn0035437	Strip	14672
CTRL1	D9	sample	HD3211579	FBgn0013275	Hsp70Aa	2031	I21	probe	FBgn0051354_cr1	FBgn0051354	Hsp70Bbb	14673
CTRL1	D10	sample	HD3200390	FBgn0020412	JIL-1	2002	A11	probe	FBgn0020412_cr1	FBgn0020412	JIL-1	14674
CTRL1	D11	sample	HD3113349	FBgn0040972	CG16978	1035	B10	probe	HD3113349_1	FBgn0040972	CG16978	14675
CTRL1	D12	sample	HD3107442	FBgn0004638	drk	1020	I4	probe	FBgn0004638_cr1	FBgn0004638	drk	14676
CTRL1	D13	sample	HD3107442	FBgn0004638	drk	1020	I4	probe	FBgn0004638_cr1	FBgn0004638	drk	14677
CTRL1	D14	sample	HD3104792	FBgn0029718	mRpL30	1013	O8	probe	FBgn0025615_cr1	FBgn0025615	Torsin	14678
CTRL1	D15	sample	HD3210176	FBgn0031520	CG8837	2027	O24	probe	FBgn0031520_cr2	FBgn0031520	CG8837	14679
CTRL1	D16	sample	HD3107931	FBgn0032551	CG18636	1021	J21	probe	FBgn0032551_cr4	FBgn0032551	CG18636	14680
CTRL1	D17	sample	HD3103017	FBgn0086384	Mer	1008	H10	probe	FBgn0086384_cr4	FBgn0086384	Mer	14681
CTRL1	D18	sample	HD3204298	FBgn0000490	dpp	2012	M3	probe	FBgn0000490_cr2	FBgn0000490	dpp	14682
CTRL1	D19	sample	HD3105940	FBgn0008635	betaCOP	1016	M24	probe	FBgn0008635_cr6	FBgn0008635	betaCOP	14683
CTRL1	D20	sample	HD3100795	FBgn0086361	alph	1003	E5	probe	FBgn0086361_cr1	FBgn0086361	alph	14684
CTRL1	D21	sample	HD3200433	FBgn0005671	Vha55	2002	I1	probe	FBgn0005671_cr2	FBgn0005671	Vha55	14685
CTRL1	D22	sample	HD3209116	FBgn0036597	CG4962	2024	P15	probe	FBgn0036597_cr1	FBgn0036597	CG4962	14686
CTRL1	D23	rluc	control	no_gene	control	NA	NA	NA	NA	NA	NA	14687
CTRL1	D24	sample	HD3200555	FBgn0000405	CycB	2002	M6	probe	FBgn0000405_cr2	FBgn0000405	CycB	14688
CTRL1	E1	sample	HD3205940	FBgn0008635	betaCOP	2016	M24	probe	FBgn0008635_cr3	FBgn0008635	betaCOP	14689
CTRL1	E2	sample	HD3200840	FBgn0016917	Stat92E	2003	K23	probe	FBgn0016917_cr6	FBgn0016917	Stat92E	14690
CTRL1	E3	sample	HD3103869	FBgn0067102	GlcT-1	1011	E9	probe	FBgn0067102_cr1	FBgn0067102	GlcT-1	14691
CTRL1	E4	sample	HD3203679	FBgn0003559	su(f)	2010	F13	probe	FBgn0003559_cr9	FBgn0003559	su(f)	14692
CTRL1	E5	sample	HD3108469	FBgn0001230	Hsp68	1023	C17	probe	FBgn0001230_cr1	FBgn0001230	Hsp68	14693
CTRL1	E6	sample	HD3102211	FBgn0053158	CG33158	1006	B6	probe	FBgn0260388_cr4	FBgn0260388	CG42514	14694
CTRL1	E7	sample	HD3101149	FBgn0003205	Ras85D	1003	P18	probe	FBgn0003205_cr1	FBgn0003205	Ras85D	14695
CTRL1	E8	sample	HD3201503	FBgn0037093	Cdk12	2004	L6	probe	FBgn0037093_cr7	FBgn0037093	Cdk12	14696
CTRL1	E9	sample	HD3100192	FBgn0002044	swm	1001	O24	probe	FBgn0002044_cr3	FBgn0002044	swm	14697
CTRL1	E10	sample	HD3210286	FBgn0053542	upd3	2027	D4	probe	FBgn0053542_cr2	FBgn0053542	upd3	14698
CTRL1	E11	sample	HD3103313	FBgn0035236	CG12004	1009	J1	probe	FBgn0035236_cr4	FBgn0035236	CG12004	14699
CTRL1	E12	rluc	control	no_gene	control	NA	NA	NA	NA	NA	NA	14700
CTRL1	E13	rluc	control	no_gene	control	NA	NA	NA	NA	NA	NA	14701
CTRL1	E14	sample	HD3112120	FBgn0031098	CG17068	1032	D23	probe	FBgn0031098_cr1	FBgn0031098	CG17068	14702
CTRL1	E15	sample	HD3205415	FBgn0026250	eIF-1A	2015	G5	probe	FBgn0026250_cr3	FBgn0026250	eIF-1A	14703
CTRL1	E16	sample	HD3103644	FBgn0260946	Exo84	1010	O16	probe	FBgn0260946_cr2	FBgn0260946	NA	14704
CTRL1	E17	sample	HD3107442	FBgn0004638	drk	1020	I4	probe	FBgn0004638_cr1	FBgn0004638	drk	14705
CTRL1	E18	sample	HD3200255	FBgn0001324	kto	2001	L5	probe	FBgn0001324_cr5	FBgn0001324	kto	14706
CTRL1	E19	sample	HD3105978	FBgn0003256	rl	1016	F3	probe	FBgn0003256_cr2	FBgn0003256	rl	14707
CTRL1	E20	sample	HD3201293	FBgn0032348	CG4751	2004	G18	probe	FBgn0032348_cr5	FBgn0032348	CG4751	14708
CTRL1	E21	sample	HD3212875	FBgn0000927	fs(1)Ya	2034	B21	probe	HD3212875_1	FBgn0024977	CG2709	14709
CTRL1	E22	sample	HD3212988	FBgn0034240	MESR4	2034	F8	probe	HD3212988_1	FBgn0034240	MESR4	14710
CTRL1	E23	sample	HD3106111	FBgn0067628	CG33331	1016	L6	probe	FBgn0067628_cr1	FBgn0067628	CG33331	14711
CTRL1	E24	sample	HD3200976	FBgn0004177	mts	2003	D7	probe	FBgn0004177_cr4	FBgn0004177	mts	14712
CTRL1	F1	sample	HD3203591	FBgn0015565	yin	2010	G6	probe	FBgn0015565_cr2	FBgn0015565	NA	14713
CTRL1	F2	rluc	control	no_gene	control	NA	NA	NA	NA	NA	NA	14714
CTRL1	F3	sample	HD3203942	FBgn0004926	eIF-2beta	2011	A12	probe	FBgn0004926_cr1	FBgn0004926	eIF-2beta	14715
CTRL1	F4	sample	HD3202373	FBgn0036896	wnd	2007	K17	probe	FBgn0036896_cr1	FBgn0036896	wnd	14716
CTRL1	F5	sample	HD3104329	FBgn0035388	CG2162	1012	A18	probe	FBgn0035388_cr9	FBgn0035388	CG2162	14717
CTRL1	F6	sample	HD3103110	FBgn0025286	RpL31	1009	G3	probe	FBgn0025286_cr1	FBgn0025286	RpL31	14718
CTRL1	F7	sample	HD3202814	FBgn0259978	vlc	2008	E12	probe	FBgn0259978_cr5	FBgn0259978	vlc	14719
CTRL1	F8	sample	HD3102321	FBgn0260987	vtd	1007	C9	probe	FBgn0260987_cr6	FBgn0260987	vtd	14720
CTRL1	F9	sample	HD3104872	FBgn0029123	SoxN	1013	L23	probe	FBgn0029123_cr1	FBgn0029123	SoxN	14721
CTRL1	F10	sample	HD3105312	FBgn0038369	Arpc3A	1014	F16	probe	FBgn0038369_cr3	FBgn0038369	Arpc3A	14722
CTRL1	F11	sample	HD3100555	FBgn0000405	CycB	1002	M6	probe	FBgn0000405_cr3	FBgn0000405	CycB	14723
CTRL1	F12	sample	HD3117527	FBgn0260635	Diap1	1046	J13	control_th	HD3117527_1	FBgn0260635	Diap1	14724
CTRL1	F13	sample	HD3117527	FBgn0260635	Diap1	1046	J13	control_th	HD3117527_1	FBgn0260635	Diap1	14725
CTRL1	F14	sample	HD3105417	FBgn0031976	CG7367	1015	G9	probe	FBgn0044323_cr2	FBgn0044323	Cka	14726
CTRL1	F15	sample	HD3102331	FBgn0031266	CG2807	1007	E5	probe	FBgn0031266_cr3	FBgn0031266	CG2807	14727
CTRL1	F16	sample	HD3110176	FBgn0031520	CG8837	1027	O24	probe	FBgn0031520_cr3	FBgn0031520	CG8837	14728
CTRL1	F17	sample	HD3200040	FBgn0032408	CG6712	2001	G7	probe	FBgn0032408_cr1	FBgn0032408	CG6712	14729
CTRL1	F18	sample	HD3104744	FBgn0034970	yki	1013	G8	probe	FBgn0034970_cr4	FBgn0034970	yki	14730
CTRL1	F19	sample	HD3104895	FBgn0021818	cnk	1013	P21	probe	FBgn0021818_cr1	FBgn0021818	cnk	14731
CTRL1	F20	sample	HD3200902	FBgn0000546	EcR	2003	G4	probe	FBgn0000546_cr4	FBgn0000546	EcR	14732
CTRL1	F21	sample	HD3215488	FBgn0016792	dmt	2041	E16	probe	HD3215488_1	FBgn0016792	NA	14733
CTRL1	F22	sample	HD3100902	FBgn0000546	EcR	1003	G4	probe	FBgn0000546_cr1	FBgn0000546	EcR	14734
CTRL1	F23	rluc	control	no_gene	control	NA	NA	NA	NA	NA	NA	14735
CTRL1	F24	sample	HD3201736	FBgn0003731	Egfr	2005	B15	probe	FBgn0003731_cr4	FBgn0003731	Egfr	14736
CTRL1	G1	sample	HD3100268	FBgn0003124	polo	1001	N7	probe	FBgn0003124_cr2	FBgn0003124	polo	14737
CTRL1	G2	sample	HD3202737	FBgn0031493	CG3605	2008	I1	probe	FBgn0031493_cr1	FBgn0031493	CG3605	14738
CTRL1	G3	sample	HD3111306	FBgn0058100	CR40100	1030	M4	probe	FBgn0058100_cr1	FBgn0058100	CR40100	14739
CTRL1	G4	sample	HD3201018	FBgn0034181	CG8963	2003	J19	probe	FBgn0034181_cr2	FBgn0034181	CG8963	14740
CTRL1	G5	sample	HD3212313	FBgn0030823	CG8918	2033	E1	probe	HD3212313_1	FBgn0030823	CG8918	14741
CTRL1	G6	sample	HD3113985	FBgn0033990	CG10265	1037	K10	probe	HD3113985_1	FBgn0033990	CG10265	14742
CTRL1	G7	sample	HD3111052	FBgn0011273	Acam	1029	B24	probe	FBgn0039374_cr1	FBgn0011273&FBgn0039374	Acam	14743
CTRL1	G8	sample	HD3202729	FBgn0040011	Slmap	2008	G9	probe	FBgn0040011_cr1	FBgn0040011	Slmap	14744
CTRL1	G9	sample	HD3107492	FBgn0001942	eIF-4a	1020	B7	probe	FBgn0001942_cr3	FBgn0001942	eIF-4a	14745
CTRL1	G10	sample	HD3100840	FBgn0016917	Stat92E	1003	K23	probe	FBgn0016917_cr7	FBgn0016917	Stat92E	14746
CTRL1	G11	sample	HD3101792	FBgn0001218	Hsc70-3	1005	L7	probe	FBgn0001218_cr1	FBgn0001218	Hsc70-3	14747
CTRL1	G12	rluc	control	no_gene	control	NA	NA	NA	NA	NA	NA	14748
CTRL1	G13	rluc	control	no_gene	control	NA	NA	NA	NA	NA	NA	14749
CTRL1	G14	sample	HD3100013	FBgn0041111	lilli	1001	C1	probe	FBgn0041111_cr4	FBgn0041111	lilli	14750
CTRL1	G15	sample	HD3211920	FBgn0038049	CG5844	2032	C7	probe	HD3211920_1	FBgn0038049	CG5844	14751
CTRL1	G16	sample	HD3102520	FBgn0024352	Hop	1007	D23	probe	FBgn0024352_cr4	FBgn0024352	Hop	14752
CTRL1	G17	sample	HD3104043	FBgn0038145	Droj2	1011	B21	probe	FBgn0038145_cr2	FBgn0038145	Droj2	14753
CTRL1	G18	sample	HD3205740	FBgn0031663	CG8891	2015	N8	probe	FBgn0031663_cr3	FBgn0031663	CG8891	14754
CTRL1	G19	sample	HD3100936	FBgn0039044	p53	1003	K24	probe	FBgn0039044_cr1	FBgn0039044	p53	14755
CTRL1	G20	sample	HD3101334	FBgn0038043	CG17202	1004	O4	probe	FBgn0004103_cr1	FBgn0004103	Pp1-87B	14756
CTRL1	G21	sample	HD3104871	FBgn0086706	pix	1013	L21	probe	FBgn0086706_cr2	FBgn0086706	pix	14757
CTRL1	G22	sample	HD3104550	FBgn0003943	Ubi-p63E	1012	H4	probe	FBgn0003943_cr1	FBgn0003943	Ubi-p63E	14758
CTRL1	G23	sample	HD3211189	FBgn0031489	CG17224	2030	I9	probe	HD3211189_1	FBgn0031489	CG17224	14759
CTRL1	G24	sample	HD3204550	FBgn0003943	Ubi-p63E	2012	H4	probe	FBgn0003943_cr1	FBgn0003943	Ubi-p63E	14760
CTRL1	H1	sample	HD3201481	FBgn0035918	Cdc6	2004	H10	probe	FBgn0035918_cr1	FBgn0035918	Cdc6	14761
CTRL1	H2	rluc	control	no_gene	control	NA	NA	NA	NA	NA	NA	14762
CTRL1	H3	sample	HD3215206	FBgn0050380	CG30380	2040	H3	probe	HD3215206_1	FBgn0050380	CG30380	14763
CTRL1	H4	sample	HD3101287	FBgn0033081	geminin	1004	G6	probe	FBgn0033081_cr1	FBgn0033081	geminin	14764
CTRL1	H5	sample	HD3103679	FBgn0003559	su(f)	1010	F13	probe	FBgn0003559_cr3	FBgn0003559	su(f)	14765
CTRL1	H6	sample	HD3201047	FBgn0003371	sgg	2003	P5	probe	FBgn0003371_cr6	FBgn0003371	sgg	14766
CTRL1	H7	sample	HD3200537	FBgn0004106	Cdk1	2002	I18	probe	FBgn0004106_cr2	FBgn0004106	Cdk1	14767
CTRL1	H8	sample	HD3102599	FBgn0010341	Cdc42	1007	B14	probe	FBgn0010341_cr2	FBgn0010341	Cdc42	14768
CTRL1	H9	sample	HD3200830	FBgn0034446	Arl6	2003	K3	probe	FBgn0023211_cr1	FBgn0023211	NA	14769
CTRL1	H10	sample	HD3103194	FBgn0015393	hoip	1009	E4	probe	FBgn0015393_cr2	FBgn0015393	hoip	14770
CTRL1	H11	sample	HD3101328	FBgn0015509	Cul1	1004	M16	probe	FBgn0015509_cr3	FBgn0015509	Cul1	14771
CTRL1	H12	sample	HD3201480	FBgn0004390	RasGAP1	2004	H8	probe	FBgn0004390_cr4	FBgn0004390	RasGAP1	14772
CTRL1	H13	sample	HD3207442	FBgn0004638	drk	2020	I4	probe	FBgn0004638_cr1	FBgn0004638	drk	14773
CTRL1	H14	sample	HD3200369	FBgn0028689	Rpn6	2001	N18	probe	FBgn0028689_cr2	FBgn0028689	Rpn6	14774
CTRL1	H15	sample	HD3100617	FBgn0001297	kay	1002	H9	probe	FBgn0001297_cr1	FBgn0001297	kay	14775
CTRL1	H16	sample	HD3101736	FBgn0003731	Egfr	1005	B15	probe	FBgn0003731_cr2	FBgn0003731	Egfr	14776
CTRL1	H17	sample	HD3207931	FBgn0032551	CG18636	2021	J21	probe	FBgn0032551_cr1	FBgn0032551	CG18636	14777
CTRL1	H18	sample	HD3100668	FBgn0004889	tws	1002	P15	probe	FBgn0004889_cr1	FBgn0004889	tws	14778
CTRL1	H19	sample	HD3106245	FBgn0039045	CG17119	1017	A10	probe	FBgn0039045_cr4	FBgn0039045	CG17119	14779
CTRL1	H20	sample	HD3103986	FBgn0024329	Mekk1	1011	I4	probe	FBgn0024329_cr3	FBgn0024329	Mekk1	14780
CTRL1	H21	sample	HD3212212	FBgn0036931	CG14183	2032	D16	probe	HD3212212_1	FBgn0036931	CG14183	14781
CTRL1	H22	sample	HD3204541	FBgn0014366	noi	2012	F10	probe	FBgn0014366_cr1	FBgn0014366	noi	14782
CTRL1	H23	rluc	control	no_gene	control	NA	NA	NA	NA	NA	NA	14783
CTRL1	H24	sample	HD3111189	FBgn0031489	CG17224	1030	I9	probe	FBgn0031489_cr4	FBgn0031489	CG17224	14784
CTRL1	I1	sample	HD3201427	FBgn0004597	CycC	2004	N21	probe	FBgn0004597_cr2	FBgn0004597	CycC	14785
CTRL1	I2	sample	HD3201316	FBgn0000413	da	2004	K16	probe	FBgn0000413_cr2	FBgn0000413	NA	14786
CTRL1	I3	sample	HD3101047	FBgn0003371	sgg	1003	P5	probe	FBgn0003371_cr6	FBgn0003371	sgg	14787
CTRL1	I4	sample	HD3205232	FBgn0016794	dos	2014	H23	probe	FBgn0016794_cr5	FBgn0016794	dos	14788
CTRL1	I5	sample	HD3101414	FBgn0014020	Rho1	1004	L19	probe	FBgn0014020_cr2	FBgn0014020	Rho1	14789
CTRL1	I6	sample	HD3213162	FBgn0036870	CG14095	2035	A20	probe	HD3213162_1	FBgn0036870	CG14095	14790
CTRL1	I7	sample	HD3102348	FBgn0029858	mldr	1007	G15	probe	FBgn0028685_cr5	FBgn0028685	Rpt4	14791
CTRL1	I8	sample	HD3101242	FBgn0003079	Raf	1004	O11	probe	FBgn0003079_cr2	FBgn0003079	phl	14792
CTRL1	I9	sample	HD3101220	FBgn0035823	eIF4E-5	1004	K15	probe	FBgn0003041_cr1	FBgn0003041	pbl	14793
CTRL1	I10	sample	HD3201120	FBgn0037655	CG11984	2003	L8	probe	FBgn0040534_cr1	FBgn0040534	CG11985	14794
CTRL1	I11	sample	HD3213349	FBgn0040972	CG16978	2035	B10	probe	HD3213349_1	FBgn0040972	CG16978	14795
CTRL1	I12	rluc	control	no_gene	control	NA	NA	NA	NA	NA	NA	14796
CTRL1	I13	rluc	control	no_gene	control	NA	NA	NA	NA	NA	NA	14797
CTRL1	I14	sample	HD3203110	FBgn0025286	RpL31	2009	G3	probe	FBgn0025286_cr1	FBgn0025286	RpL31	14798
CTRL1	I15	sample	HD3100040	FBgn0032408	CG6712	1001	G7	probe	FBgn0032408_cr1	FBgn0032408	CG6712	14799
CTRL1	I16	sample	HD3112212	FBgn0036931	CG14183	1032	D16	probe	FBgn0036931_cr8	FBgn0036931	CG14183	14800
CTRL1	I17	sample	HD3102373	FBgn0036896	wnd	1007	K17	probe	FBgn0036896_cr2	FBgn0036896	wnd	14801
CTRL1	I18	sample	HD3211882	FBgn0039710	dgt1	2031	N4	probe	HD3211882_1	FBgn0039710	dgt1	14802
CTRL1	I19	sample	HD3101018	FBgn0034181	CG8963	1003	J19	probe	FBgn0034181_cr1	FBgn0034181	CG8963	14803
CTRL1	I20	sample	HD3100185	FBgn0000117	arm	1001	O10	probe	FBgn0000117_cr1	FBgn0000117	arm	14804
